Branch,barcode,Product Category,Name,Unit of Measure,May,quantity,Rate,Amount,Zero Check,KIT items,Actual ID,conversion,Actual Qty
Badar,308,Milk Dairy and Cheese,TCF - Hummus Lemon,Units,0,0,415,0,0,#N/A,#N/A,#N/A,#N/A
Badar,314,Milk Dairy and Cheese,TCF - Low Fat Cheese,Units,11,5,430,2150,16,#N/A,#N/A,#N/A,#N/A
Badar,327,Milk Dairy and Cheese,TCF - Sour Cream,Units,3,0,395,0,3,#N/A,#N/A,#N/A,#N/A
Badar,1424,Milk Dairy and Cheese,TCF - Sour Cream With Herbs,Units,0,0,395,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1640,Pantry,TKFC - Caramel & Vanilla Fudge (100g),Units,0,0,425,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1641,Pantry,TKFC - Caramel & Vanilla Fudge (250g),Units,0,0,920,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1639,Pantry,TKFC - Chocolate Fudge (100g),Units,0,0,425,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1642,Pantry,TKFC - Chocolate Fudge (250g),Units,0,0,920,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1638,Pantry,TKFC - Espresso Fudge (100g),Units,0,0,425,0,0,#N/A,#N/A,#N/A,#N/A
Badar,1643,Pantry,TKFC - Espresso Fudge (250g),Units,0,0,920,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530638,Honey,TSFC - Acacia Honey 215g,Units,2,0,760,0,2,#N/A,#N/A,#N/A,#N/A
Badar,225389530935,Pantry,TSFC - Acai Berry Powder (80g),Units,0,0,2240,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530423,Pantry,TSFC - Almond Butter,Units,0,0,1720,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530188,Honey,TSFC - Beri Honey (485g),Units,1,4,1920,7680,5,#N/A,#N/A,#N/A,#N/A
Badar,225389530645,Honey,TSFC - Beri Honey 215g,Units,1,0,1120,0,1,#N/A,#N/A,#N/A,#N/A
Badar,225389530416,Pantry,TSFC - Blue Berry Granola (300g),Units,0,0,1160,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530195,Pantry,TSFC - Cane Sugar,Units,2,0,600,0,2,#N/A,#N/A,#N/A,#N/A
Badar,225389530478,Tea & Coffee,TSFC - Chamomile tea 30g,Units,0,0,720,0,0,#N/A,#N/A,#N/A,#N/A
Badar,225389530485,Pantry,TSFC - Chilli Oil 150g,Units,3,0,720,0,3,#N/A,#N/A,#N/A,#N/A
Badar,225389530331,Pantry,TSFC - Chocolate & Peanut Butter Granola (300g),Units,0,0,1000,0,0,#N/A,#N/A,#N/A,#N/A
